PMID	PMCD	PMDE0	MKTPGIN	PMSTPDID	PMSTDT	PMENPDID	PMENDT	SDCD0	PMSTCD	PMTYID	PMTYDE
291	C8 	$4000 CINEPLEX BUYING LEVEL	N	20120726	7/26/2012	20120928	9/28/2012	AAD	C	15	Target Mailings
292	C9 	$4500 CINEPLEX BUYING LEVEL	N	20120726	7/26/2012	20120928	9/28/2012	AAD	C	15	Target Mailings
293	E3 	$800 EMPIRE BUYING LEVEL	N	20120726	7/26/2012	20120928	9/28/2012	AAD	C	15	Target Mailings
116	OB 	P&G DENTAL SCHOOL PROGRAM	Y	20090813	8/13/2009	20401231	12/31/2040	AAD	A	17	Vendor Sponsored Program
294	E4 	$1200 EMPIRE BUYING LEVEL	N	20120726	7/26/2012	20120928	9/28/2012	AAD	C	15	Target Mailings
274	AL 	ATLANTIC PROVINCES (PEI/NF)	N	20120601	6/1/2012	20120615	6/15/2012	AAD	C	6	Show Special
295	E5 	$1500 EMPIRE BUYING LEVEL	N	20120726	7/26/2012	20120928	9/28/2012	AAD	C	15	Target Mailings
296	E6 	$2500 EMPIRE BUYING LEVEL	N	20120726	7/26/2012	20120928	9/28/2012	AAD	C	15	Target Mailings
297	DH 	AUGUST 2012 DENTAL FLYER	N	20120801	8/1/2012	20120831	8/31/2012	AAD	C	8	Monthly Sales Flyer
260	IM 	ZAHN IMPAK POSTCARD	N	20120326	3/26/2012	20120630	6/30/2012	AAL	C	15	Target Mailings
298	HF 	AUGUST 2012 CUSTOMER REQUEST	N	20120801	8/1/2012	20120831	8/31/2012	AAD	C	8	Monthly Sales Flyer
163	VM 	VIP MEDICAL	Y	20101008	10/8/2010	20401231	12/31/2040	AAM	A	15	Target Mailings
275	DF 	JUNE 2012 DENTAL FLYER	N	20120601	6/1/2012	20120630	6/30/2012	AAD	C	8	Monthly Sales Flyer
263	ES 	EIGHTY DAYS OF DEALS	N	20120619	6/19/2012	20120630	6/30/2012	AAD	C	10	Other
264	LQ 	PROSCORE PROMO'S	Y	20120401	4/1/2012	20121231	12/31/2012	AAD	C	10	Other
276	FF 	JUNE 2012 CUSTOMER REQUEST	N	20120601	6/1/2012	20120630	6/30/2012	AAD	C	8	Monthly Sales Flyer
299	TS 	INSIDE TELE SALES	N	20120828	8/28/2012	20130331	3/31/2013	AAD	A	10	Other
300	DI 	SEPTEMBER 2012 DENTAL FLYER	N	20120901	9/1/2012	20120930	9/30/2012	AAD	C	8	Monthly Sales Flyer
301	IF 	SEPT 2012 CUSTOMER REQUEST	N	20120901	9/1/2012	20120930	9/30/2012	AAD	C	8	Monthly Sales Flyer
302	MI 	SEPT/OCT 2012 MEDICAL FLYER	N	20120901	9/1/2012	20121031	10/31/2012	AAM	C	8	Monthly Sales Flyer
303	ZI 	SEPT/OCT 2012 ZAHN FLYER	N	20120901	9/1/2012	20121031	10/31/2012	AAL	C	8	Monthly Sales Flyer
304	AN 	ANAE-BEAT THE FREEZE-QUE OFFER	N	20120905	9/5/2012	20120930	9/30/2012	AAD	C	15	Target Mailings
305	SC 	SASKATCHEWAN DENTAL CONVENTION	N	20120910	9/10/2012	20120921	9/21/2012	AAD	C	14	Specialty Sales Flyer
306	WD 	WINNIPEG DENTALFEST 2012	N	20120911	9/11/2012	20120917	9/17/2012	AAD	C	6	Show Special
307	LA 	LONDON DENTALFEST 2012-5%	N	20120913	9/13/2012	20120928	9/28/2012	AAD	C	6	Show Special
308	LB 	LONDON DENTALFEST 2012-10%	N	20120913	9/13/2012	20120928	9/28/2012	AAD	C	6	Show Special
309	LC 	LONDON DENTALFEST 2012-15%	N	20120913	9/13/2012	20120928	9/28/2012	AAD	C	6	Show Special
310	LD 	LONDON DENTALFEST 2012-20%	N	20120913	9/13/2012	20120928	9/28/2012	AAD	C	6	Show Special
311	OA 	OTTAWA DENTALFEST 2012-5%	N	20120913	9/13/2012	20120928	9/28/2012	AAD	C	6	Show Special
312	OC 	OTTAWA DENTALFEST 2012-10%	N	20120913	9/13/2012	20120928	9/28/2012	AAD	C	6	Show Special
313	OD 	OTTAWA DENTALFEST 2012-15%	N	20120913	9/13/2012	20120928	9/28/2012	AAD	C	6	Show Special
314	OE 	OTTAWA DENTALFEST 2012-20%	N	20120913	9/13/2012	20120928	9/28/2012	AAD	C	6	Show Special
315	ND 	NAT'L ONT DTL ASSOC SHOW	N	20120914	9/14/2012	20120924	9/24/2012	AAD	C	6	Show Special
316	ED 	EDMONTON DENTAL SHOW 2012	N	20120920	9/20/2012	20120928	9/28/2012	AAD	C	6	Show Special
317	MB 	MANITOBA SMALL EQUIPMENT FLYER	N	20120921	9/21/2012	20120930	9/30/2012	AAD	C	14	Specialty Sales Flyer
318	PU 	PERFECTING YOUR PRACTICE 2012	N	20120921	9/21/2012	20121005	10/5/2012	AAL	C	6	Show Special
319	EX 	EXPODENT 2012	N	20120927	9/27/2012	20121005	10/5/2012	AAL	C	6	Show Special
320	HD 	HALIFAX 2012 DENTALFEST	N	20120927	9/27/2012	20121009	10/9/2012	AAD	C	6	Show Special
321	AQ 	ANESTHETIC QUEBEC	N	20121001	10/1/2012	20121031	10/31/2012	AAD	C	15	Target Mailings
322	DJ 	OCTOBER 2012 DENTAL FLYER	N	20121001	10/1/2012	20121031	10/31/2012	AAD	C	8	Monthly Sales Flyer
323	LA 	LONDON DENTALFEST 2012-5%	N	20121005	10/5/2012	20121009	10/9/2012	AAD	C	6	Show Special
324	LB 	LONDON DENTALFEST 2012-10%	N	20121005	10/5/2012	20121009	10/9/2012	AAD	C	6	Show Special
325	LC 	LONDON DENTALFEST 2012-15%	N	20121005	10/5/2012	20121009	10/9/2012	AAD	C	6	Show Special
326	LD 	LONDON DENTALFEST 2012-20%	N	20121005	10/5/2012	20121009	10/9/2012	AAD	C	6	Show Special
327	NF 	NANAIMO 2012 DENTALFEST	N	20121009	10/9/2012	20121022	10/22/2012	AAD	C	6	Show Special
328	MO 	MONTREAL OKTOBERFEST 2012	N	20121010	10/10/2012	20121024	10/24/2012	AAD	C	6	Show Special
329	VD 	VANCOUVER 2012 DENTALFEST	N	20121015	10/15/2012	20121029	10/29/2012	AAD	C	6	Show Special
330	TB 	THUNDERBAY DENTALFEST 2012	N	20121018	10/18/2012	20121101	11/1/2012	AAD	C	6	Show Special
331	CO 	NORTHERN ROADSHOW - CONCORD	N	20121022	10/22/2012	20121102	11/2/2012	AAD	C	6	Show Special
332	QC 	QUEBEC CITY OKTOBERFEST	N	20121023	10/23/2012	20121031	10/31/2012	AAD	C	6	Show Special
333	BC 	BRITISH COLUMBIA SPORE TESTING	N	20121026	10/26/2012	20121231	12/31/2012	AAD	C	14	Specialty Sales Flyer
334	GS 	GSP SAVINGS PLAN	Y	20121026	10/26/2012	20401231	12/31/2040	AAD	A	17	Vendor Sponsored Program
335	IE 	INFECTION CONTROL EQUIPMENT	N	20121026	10/26/2012	20130107	1/7/2013	AAD	C	14	Specialty Sales Flyer
336	WC 	WINTER CLINIC 2012	N	20121031	10/31/2012	20121109	11/9/2012	AAD	C	6	Show Special
337	DK 	NOVEMBER 2012 DENTAL FLYER	N	20121101	11/1/2012	20121130	11/30/2012	AAD	C	8	Monthly Sales Flyer
338	MK 	NOV/DEC 2012 MEDICAL FLYER	N	20121101	11/1/2012	20121231	12/31/2012	AAM	C	8	Monthly Sales Flyer
339	ZK 	NOV/DEC 2012 ZAHN FLYER	N	20121102	11/2/2012	20121231	12/31/2012	AAL	C	8	Monthly Sales Flyer
340	CM 	CYBER MONDAY 2012	N	20121125	11/25/2012	20121227	12/27/2012	AAD	C	10	Other
341	DL 	DECEMBER 2012 DENTAL FLYER	N	20121201	12/1/2012	20121231	12/31/2012	AAD	C	8	Monthly Sales Flyer
342	SJ 	STJOHNS INF CONTROL VISA PROMO	N	20121208	12/8/2012	20121221	12/21/2012	AAD	C	10	Other
343	OT 	SCICAN OPTIM 33TB MAILER	N	20121210	12/10/2012	20130131	1/31/2013	AAD	C	15	Target Mailings
344	DA 	2013 JANUARY DENTAL FLYER	N	20130101	1/1/2013	20130131	1/31/2013	AAD	C	8	Monthly Sales Flyer
345	MA 	2013 MEDICAL FLYER	N	20130101	1/1/2013	20130228	2/28/2013	AAM	C	8	Monthly Sales Flyer
346	ZA 	2013 JAN/FEB ZAHN FLYER	N	20130101	1/1/2013	20130228	2/28/2013	AAL	C	8	Monthly Sales Flyer
347	IC 	ZAHN INFECTION CONTROL FLYER	N	20130104	1/4/2013	20130331	3/31/2013	AAL	C	14	Specialty Sales Flyer
348	VA 	VIP ACCESS DENTAL	Y	20130108	1/8/2013	20130109	1/9/2013	AAD	C	15	Target Mailings
349	V1 	MVP - DISPOSABLES	Y	20130108	1/8/2013	20130109	1/9/2013	AAD	C	15	Target Mailings
350	V3 	MVP ANAESTHETIC	Y	20130108	1/8/2013	20130109	1/9/2013	AAD	C	15	Target Mailings
351	V4 	MVP GYPSUM	Y	20130108	1/8/2013	20130109	1/9/2013	AAL	C	15	Target Mailings
352	V5 	MVP ROTARY	Y	20130108	1/8/2013	20130109	1/9/2013	AAD	C	15	Target Mailings
353	V6 	MVP GLOVES	Y	20130108	1/8/2013	20130109	1/9/2013	AAD	C	15	Target Mailings
354	V7 	MVP XRAY	Y	20130108	1/8/2013	20130109	1/9/2013	AAD	C	15	Target Mailings
355	V8 	MVP IMPRESSION MATERIAL	Y	20130108	1/8/2013	20130109	1/9/2013	AAD	C	15	Target Mailings
356	WE 	WINNIPEG MDA EVENT	N	20130125	1/25/2013	20130208	2/8/2013	AAD	C	6	Show Special
357	RE 	THUNDER BAY RENDEZVOUS EVENT	N	20130131	1/31/2013	20130215	2/15/2013	AAD	C	6	Show Special
358	DB 	2012 FEBRUARY DENTAL FLYER	N	20130201	2/1/2013	20130228	2/28/2013	AAD	C	8	Monthly Sales Flyer
359	IN 	INFECTION CONTROL (ZAHN) FEB	N	20130207	2/7/2013	20130331	3/31/2013	AAL	C	15	Target Mailings
360	VB 	VIVACAINE BLOWOUT-WEST CUSTMRS	N	20130212	2/12/2013	20130228	2/28/2013	AAD	C	10	Other
361	CE 	CALGARY DENTALFEST EVENT	N	20130301	3/1/2013	20130315	3/15/2013	AAD	C	6	Show Special
362	DC 	MARCH 2013 DENTAL FLYER	N	20130301	3/1/2013	20130331	3/31/2013	AAD	C	8	Monthly Sales Flyer
363	MC 	2013 MARCH/APRIL MEDICAL FLYER	N	20130301	3/1/2013	20130430	4/30/2013	AAM	C	8	Monthly Sales Flyer
364	PD 	PACIFIC DENTAL CONVENTION(PDC)	N	20130301	3/1/2013	20130322	3/22/2013	AAD	C	6	Show Special
365	ZC 	2013 ZAHN MARCH/APRIL FLYER	N	20130301	3/1/2013	20130430	4/30/2013	AAL	C	8	Monthly Sales Flyer
366	AO 	ALBERTA ORTHO SOCIETY MEETING	N	20130314	3/14/2013	20130316	3/16/2013	AAD	C	6	Show Special
367	DD 	APRIL 2013 DENTAL FLYER	N	20130401	4/1/2013	20130430	4/30/2013	AAD	C	8	Monthly Sales Flyer
368	TS 	INSIDE TELE SALES	N	20130402	4/2/2013	20401231	12/31/2040	AAD	A	10	Other
369	LP 	PROSCORE	N	20130405	4/5/2013	20130630	6/30/2013	AAD	C	10	Other
370	TE 	TECHNORAMA 2013	N	20130408	4/8/2013	20130420	4/20/2013	AAL	C	6	Show Special
371	KD 	KINGSTON DENTALFEST	N	20130410	4/10/2013	20130424	4/24/2013	AAD	C	6	Show Special
372	BG 	ZAHN EQUIPMENT BUYERS GUIDE	N	20130411	4/11/2013	20130630	6/30/2013	AAL	C	14	Specialty Sales Flyer
373	LR 	PROSCORE (APR-SEPT)	N	20130419	4/19/2013	20130930	9/30/2013	AAD	C	10	Other
374	OD 	ODA 2013 CONVENTION	N	20130424	4/24/2013	20130517	5/17/2013	AAD	C	6	Show Special
375	DE 	MAY 2013 DENTAL FLYER	N	20130501	5/1/2013	20130531	5/31/2013	AAD	C	8	Monthly Sales Flyer
376	ME 	2013 MAY/JUNE MEDICAL FLYER	N	20130501	5/1/2013	20130630	6/30/2013	AAM	C	8	Monthly Sales Flyer
377	ZE 	MAY/JUNE 2013 ZAHN FLYER	N	20130501	5/1/2013	20130630	6/30/2013	AAL	C	8	Monthly Sales Flyer
378	J1 	JDIQ 2013 CONVENTION-MAY CODE	N	20130504	5/4/2013	20130531	5/31/2013	AAD	C	6	Show Special
379	J3 	JDIQ 2013-MAY 'DISCOUNT' CODE	N	20130516	5/16/2013	20130531	5/31/2013	AAD	C	6	Show Special
380	BC 	BC DENTURIST SHOW	N	20130530	5/30/2013	20130608	6/8/2013	AAL	C	6	Show Special
381	DF 	JUNE 2013 DENTAL FLYER	N	20130601	6/1/2013	20130630	6/30/2013	AAD	C	8	Monthly Sales Flyer
382	ZM 	ZAHN MAILER-FINISH/POLISHING	N	20130601	6/1/2013	20130831	8/31/2013	AAL	C	14	Specialty Sales Flyer
383	J2 	JDIQ 2013 CONVENTION-JUNE CODE	N	20130603	6/3/2013	20130607	6/7/2013	AAD	C	6	Show Special
384	J4 	JDIQ 2013-JUNE 'DISCOUNT' CODE	N	20130603	6/3/2013	20130607	6/7/2013	AAD	C	6	Show Special
385	AD 	ALBERTA DENTURIST SHOW	N	20130611	6/11/2013	20130621	6/21/2013	AAL	C	6	Show Special
386	DG 	JULY 2013 DENTAL FLYER	N	20130701	7/1/2013	20130731	7/31/2013	AAD	C	8	Monthly Sales Flyer
387	MG 	JULY/AUGUST MEDICAL RED TAG	N	20130701	7/1/2013	20130831	8/31/2013	AAM	C	8	Monthly Sales Flyer
388	ZG 	JULY/AUGUST 2013 ZAHN FLYER	N	20130701	7/1/2013	20130831	8/31/2013	AAL	C	8	Monthly Sales Flyer
389	DH 	AUGUST 2013 DENTAL FLYER	N	20130801	8/1/2013	20130831	8/31/2013	AAD	C	8	Monthly Sales Flyer
390	CL 	CAMLOG 15% DISCOUNT OFFER	N	20130830	8/30/2013	20131231	12/31/2013	AAD	C	15	Target Mailings
391	CB 	CORP BRAND CATALOGUE PROMO	N	20130901	9/1/2013	20130930	9/30/2013	AAD	C	2	Catalog Incentive Coupon
392	DI 	SEPTEMBER 2013 DENTAL FLYER	N	20130901	9/1/2013	20130930	9/30/2013	AAD	C	8	Monthly Sales Flyer
393	ES 	EASYSOFT DENTURISM CANADA OFFR	N	20130901	9/1/2013	20131031	10/31/2013	AAL	C	10	Other
394	MI 	SEPT/OCT 2013 MEDICAL FLYER	N	20130901	9/1/2013	20131031	10/31/2013	AAM	C	8	Monthly Sales Flyer
395	ZI 	SEPT/OCT 2013 ZAHN FLYER	N	20130901	9/1/2013	20131031	10/31/2013	AAL	C	16	Web Promo
396	WD 	WINNIPEG DENTALFEST	N	20130909	9/9/2013	20130916	9/16/2013	AAD	C	6	Show Special
397	OF 	OTTAWA DENTALFEST	N	20130919	9/19/2013	20130930	9/30/2013	AAD	C	6	Show Special
398	SD 	SASKATCHEWAN'S DENTALFEST	N	20130919	9/19/2013	20130927	9/27/2013	AAD	C	6	Show Special
399	E3 	EDMONTON DENTALFEST-SEPTEMBER	N	20130927	9/27/2013	20130930	9/30/2013	AAD	C	6	Show Special
400	CT 	CHRISTENSEN/TEAM BUILDING EVNT	N	20131001	10/1/2013	20131018	10/18/2013	AAD	C	6	Show Special
401	DJ 	OCTOBER 2013 DENTAL FLYER	N	20131001	10/1/2013	20131031	10/31/2013	AAD	C	16	Web Promo
402	DS 	WORLD DENTURIST SYMPOSIUM	N	20131001	10/1/2013	20131130	11/30/2013	AAL	C	6	Show Special
403	E4 	EDMONTON DENTALFEST-OCTOBOER	N	20131001	10/1/2013	20131009	10/9/2013	AAD	C	6	Show Special
404	VT 	VICTORIA'S DENTALFEST	N	20131002	10/2/2013	20131009	10/9/2013	AAD	C	6	Show Special
405	HM 	HYGIENE MEETING-CONCORD	N	20131003	10/3/2013	20131017	10/17/2013	AAD	C	6	Show Special
406	ND 	NANAIMO'S DENTALFEST	N	20131003	10/3/2013	20131010	10/10/2013	AAD	C	6	Show Special
407	CN 	MONTREAL FALLFEST-NON ATTENDEE	N	20131004	10/4/2013	20131018	10/18/2013	AAD	C	6	Show Special
408	C2 	CORP BRAND CATALOGUE PROMO-OCT	N	20131005	10/5/2013	20131031	10/31/2013	AAD	A	2	Catalog Incentive Coupon
409	C2 	CORP BRAND CATALOGUE PROMO-OCT	N	20131009	10/9/2013	20131031	10/31/2013	AAD	C	2	Catalog Incentive Coupon
410	ZP 	ZAHN PROMO-BUYING LEVEL (MONT)	N	20131009	10/9/2013	20131019	10/19/2013	AAL	C	6	Show Special
411	VD 	VANCOUVER'S DENTALFEST	N	20131010	10/10/2013	20131017	10/17/2013	AAD	C	6	Show Special
412	TB 	THUNDERBAY'S DENTALFEST	N	20131017	10/17/2013	20131024	10/24/2013	AAD	C	6	Show Special
413	AS 	ALBERTA DENTURIST SHOW	N	20131023	10/23/2013	20131031	10/31/2013	AAL	C	6	Show Special
414	DK 	NOVEMBER 2013 DENTAL FLYER	N	20131101	11/1/2013	20131130	11/30/2013	AAD	C	8	Monthly Sales Flyer
415	MK 	NOV/DEC 2013 MEDICAL FLYER	N	20131101	11/1/2013	20131231	12/31/2013	AAM	C	8	Monthly Sales Flyer
416	ZK 	NOV/DEC 2013 ZAHN FLYER	N	20131101	11/1/2013	20131231	12/31/2013	AAL	C	8	Monthly Sales Flyer
417	G2 	QUEBEC GALA (NON-ATTENDEES)	N	20131102	11/2/2013	20131119	11/19/2013	AAD	C	6	Show Special
418	QG 	QUEBEC GALA	Y	20131102	11/2/2013	20131119	11/19/2013	AAD	C	6	Show Special
419	WC 	WINTER CLINIC 2013	N	20131107	11/7/2013	20131118	11/18/2013	AAD	C	6	Show Special
420	DL 	DECEMBER 2013 DENTAL FLYER	N	20131201	12/1/2013	20131231	12/31/2013	AAD	C	8	Monthly Sales Flyer
421	ZR 	ZAHN RED TAG SALE 2013	N	20131205	12/5/2013	20131231	12/31/2013	AAL	C	14	Specialty Sales Flyer
422	DA 	JANUARY 2014 DENTAL FLYER	N	20140101	1/1/2014	20140131	1/31/2014	AAD	C	8	Monthly Sales Flyer
423	MA 	JAN/FEB 2014 MEDICAL FLYER	N	20140101	1/1/2014	20140228	2/28/2014	AAM	C	8	Monthly Sales Flyer
424	ZA 	JAN/FEB 2014 ZAHN FLYER	N	20140101	1/1/2014	20140228	2/28/2014	AAL	C	8	Monthly Sales Flyer
425	MC 	MANITOBA DENTAL CONVENTION	N	20140120	1/20/2014	20140131	1/31/2014	AAD	C	6	Show Special
426	T1 	THUNDERBAY DENTAL CONVENTION	N	20140130	1/30/2014	20140131	1/31/2014	AAD	C	6	Show Special
427	DB 	FEBRUARY 2014 DENTAL FLYER	N	20140201	2/1/2014	20140228	2/28/2014	AAD	C	8	Monthly Sales Flyer
428	T2 	THUNDERBAY DENTAL CONVENTION	N	20140201	2/1/2014	20140212	2/12/2014	AAD	C	6	Show Special
429	DC 	MARCH 2014 DENTAL FLYER	N	20140301	3/1/2014	20140331	3/31/2014	AAD	C	8	Monthly Sales Flyer
430	MC 	MARCH/APRIL 2014 MEDICAL FLYER	N	20140301	3/1/2014	20140430	4/30/2014	AAM	C	8	Monthly Sales Flyer
431	PD 	PDC DENTAL CONVENTION	N	20140301	3/1/2014	20140321	3/21/2014	AAD	C	6	Show Special
432	ZC 	MARCH/APRIL 2014 ZAHN FLYER	N	20140301	3/1/2014	20140430	4/30/2014	AAL	C	8	Monthly Sales Flyer
433	K1 	KINGSTON DENTALFEST (MAR CODE)	N	20140327	3/27/2014	20140331	3/31/2014	AAD	C	6	Show Special
434	DD 	APRIL 2014 DENTAL FLYER	N	20140401	4/1/2014	20140430	4/30/2014	AAD	C	8	Monthly Sales Flyer
435	K2 	KINGSTON DENTALFEST (APR CODE)	N	20140401	4/1/2014	20140410	4/10/2014	AAD	C	6	Show Special
436	LP 	SCORE DISCOUNT 15%	N	20140408	4/8/2014	20140630	6/30/2014	AAD	C	10	Other
437	TE 	TECHNORAMA 2014	N	20140409	4/9/2014	20140417	4/17/2014	AAL	C	6	Show Special
438	O1 	ODA 2014 PRESELL/DISCOUNT	N	20140424	4/24/2014	20140430	4/30/2014	AAD	C	6	Show Special
439	O2 	ODA 2014 PRESELL/GIFT	N	20140424	4/24/2014	20140430	4/30/2014	AAD	C	6	Show Special
440	ES 	EDMONTON SPECTRUM 2014	N	20140425	4/25/2014	20140430	4/30/2014	AAL	C	6	Show Special
441	DE 	MAY 2014 DENTAL FLYER	N	20140501	5/1/2014	20140531	5/31/2014	AAD	C	8	Monthly Sales Flyer
442	ME 	MAY/JUNE 2014 MEDICAL FLYER	N	20140501	5/1/2014	20140630	6/30/2014	AAM	C	8	Monthly Sales Flyer
443	O3 	ODA 2014 DISCOUNT	N	20140501	5/1/2014	20140516	5/16/2014	AAD	C	6	Show Special
444	O4 	ODA 2014 GIFT	N	20140501	5/1/2014	20140516	5/16/2014	AAD	C	6	Show Special
445	ZE 	MAY/JUNE 2014 ZAHN FLYER	N	20140501	5/1/2014	20140630	6/30/2014	AAL	C	8	Monthly Sales Flyer
446	J1 	JDIQ (MAY PRESALE) CASH REBATE	N	20140510	5/10/2014	20140531	5/31/2014	AAD	C	6	Show Special
447	J2 	JDIQ (MAY PRESALE) GIFT	N	20140510	5/10/2014	20140531	5/31/2014	AAD	C	6	Show Special
448	J3 	JDIQ (MAY PRESALE) COUPON	N	20140510	5/10/2014	20140531	5/31/2014	AAD	C	6	Show Special
449	WS 	WINNIPEG SPECTRUM 2014	N	20140510	5/10/2014	20140514	5/14/2014	AAL	C	6	Show Special
450	A1 	ATLANTIC CONVENTION(MAY) DISC	N	20140521	5/21/2014	20140531	5/31/2014	AAD	C	6	Show Special
451	A2 	ATLANTIC CONVENTION(MAY) GIFT	N	20140521	5/21/2014	20140531	5/31/2014	AAD	C	6	Show Special
452	BC 	BRITISH COLUMBIA DENTURIST MTG	N	20140529	5/29/2014	20140613	6/13/2014	AAL	C	6	Show Special
453	A3 	ATLANTIC CONVENTION(JUNE) DISC	N	20140601	6/1/2014	20140702	7/2/2014	AAD	C	6	Show Special
454	A4 	ATLANTIC CONVENTION(JUNE) GIFT	N	20140601	6/1/2014	20140702	7/2/2014	AAD	C	6	Show Special
455	DF 	JUNE 2014 DENTAL FLYER	N	20140601	6/1/2014	20140630	6/30/2014	AAD	C	8	Monthly Sales Flyer
456	J4 	JDIQ (JUNE) REBATE	N	20140601	6/1/2014	20140612	6/12/2014	AAD	C	6	Show Special
457	J5 	JDIQ (JUNE) GIFT	N	20140601	6/1/2014	20140612	6/12/2014	AAD	C	6	Show Special
458	J6 	JDIQ (JUNE) COUPON	N	20140601	6/1/2014	20140612	6/12/2014	AAD	C	6	Show Special
459	ND 	NITRADINE DENTURISM SUMMER AD	N	20140601	6/1/2014	20140831	8/31/2014	AAL	C	10	Other
